,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,cluster
20,2,3,37040.0,0.0,0.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,316.0,0.0,12.0,0
21,2,3,2447.0,1.0,0.0,42.0,1.0,1.0,549.75,1.0,1.0,1.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,554.75,0.0,16.0,0
22,4,3,58607.0,0.0,1.0,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,972.0,0.0,17.0,3
23,4,3,65324.0,0.0,1.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,544.0,0.0,20.0,1
24,2,5,40689.0,0.0,1.0,69.0,270.0,3.0,27.0,39.0,6.0,99.0,6.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,444.0,0.0,19.0,3
25,2,4,18589.0,0.0,0.0,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,75.0,0.0,8.0,0
26,2,3,53359.0,1.0,1.0,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,257.0,0.0,14.0,3
27,2,4,0.0,1.0,0.0,19.0,5.0,1.0,3.0,3.0,82.875,126.5,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,221.375,0.0,12.0,0
28,2,3,38360.0,1.0,0.0,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,131.0,0.0,9.0,0
29,4,3,84618.0,0.0,0.0,96.0,684.0,81.0,549.75,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1401.75,0.0,26.0,2
30,3,2,10979.0,0.0,0.0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,30.0,0.0,8.0,0
31,3,5,38620.0,0.0,0.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,318.0,0.0,11.0,0
32,2,5,40548.0,0.0,1.0,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,120.0,0.0,9.0,0
33,4,2,46610.0,0.0,2.0,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,302.0,0.0,17.0,3
34,3,3,68657.0,0.0,0.0,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,1196.0,0.0,18.0,2
35,3,4,49389.0,1.0,1.0,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,65.0,0.0,6.0,0
36,4,3,67353.0,0.0,1.0,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,913.0,0.0,28.0,1
37,0,3,23718.0,1.0,0.0,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,81.0,0.0,9.0,0
38,2,6,42429.0,0.0,1.0,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,67.0,0.0,7.0,0
39,4,2,48948.0,0.0,0.0,53.0,437.0,8.0,206.0,120.5,49.0,42.0,2.0,7.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,862.5,0.0,24.0,1
40,2,3,80011.0,0.0,1.0,3.0,421.0,76.0,536.0,82.0,82.875,102.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1299.875,0.0,21.0,1
41,3,3,20559.0,1.0,0.0,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,53.0,0.0,7.0,0
42,2,5,21994.0,0.0,1.0,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,22.0,0.0,4.0,0
43,4,4,0.0,0.0,0.0,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,186.0,0.0,9.0,0
44,3,3,7500.0,1.0,0.0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,31.0,0.0,8.0,0
45,2,4,79941.0,0.0,0.0,72.0,123.0,81.0,266.0,120.5,30.0,126.5,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,747.0,0.0,16.0,2
46,0,3,7500.0,0.0,0.0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,122.0,0.0,10.0,0
47,2,5,41728.0,1.0,0.0,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,55.0,0.0,5.0,0
48,2,4,0.0,2.0,1.0,96.0,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,124.0,0.0,10.0,0
49,4,3,72550.0,1.0,1.0,39.0,826.0,50.0,317.0,50.0,38.0,38.0,6.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,1319.0,0.0,25.0,1
50,2,6,65486.0,0.0,1.0,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,507.0,0.0,17.0,3
51,3,3,79143.0,0.0,0.0,2.0,650.0,37.0,549.75,27.0,82.875,32.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1378.625,0.0,29.0,1
52,2,4,35790.0,1.0,0.0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,72.0,0.0,7.0,0
53,2,2,82582.0,0.0,0.0,54.0,510.0,81.0,549.75,120.5,40.0,126.5,1.0,4.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1427.75,0.0,21.0,2
54,2,3,66373.0,1.0,1.0,57.0,328.0,9.0,124.0,12.0,24.0,109.0,6.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,606.0,0.0,22.0,1
55,3,5,82384.0,0.0,0.0,55.0,984.0,51.0,432.0,120.5,82.875,126.5,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1796.875,0.0,27.0,2
56,2,2,70287.0,0.0,0.0,30.0,295.0,35.0,482.0,120.5,82.875,40.0,1.0,5.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1055.375,0.0,21.0,2
57,2,4,27938.0,1.0,0.0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,29.0,0.0,6.0,0
58,2,4,0.0,1.0,0.0,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,46.0,0.0,7.0,0
59,4,3,55954.0,0.0,1.0,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,518.0,0.0,19.0,3
60,3,4,75777.0,0.0,0.0,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1438.0,0.0,21.0,2
61,2,5,66653.0,1.0,1.0,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,612.0,0.0,22.0,3
62,2,4,61823.0,0.0,1.0,26.0,523.0,7.0,134.0,37.0,14.0,126.5,4.0,8.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,841.5,0.0,24.0,1
63,4,6,67680.0,0.0,1.0,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,606.0,0.0,19.0,3
64,2,5,70666.0,0.0,0.0,29.0,398.0,40.0,367.0,119.0,82.875,30.0,1.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1036.875,0.0,16.0,2
65,2,3,25721.0,1.0,0.0,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,34.0,0.0,5.0,0
66,2,5,32474.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,11.0,0.0,4.0,0
67,0,4,88194.0,0.0,1.0,19.0,688.0,14.0,309.0,120.5,24.0,38.0,1.0,11.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,1193.5,0.0,32.0,1
68,2,5,69096.0,0.0,1.0,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,653.0,0.0,18.0,1
69,2,5,74854.0,1.0,2.0,90.0,856.0,59.0,487.0,58.0,29.0,73.0,6.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,1562.0,0.0,18.0,1
70,3,3,66991.0,0.0,0.0,1.0,496.0,36.0,460.0,120.5,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1184.5,0.0,21.0,2
71,0,3,0.0,1.0,0.0,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,109.0,0.0,9.0,0
72,2,3,65031.0,0.0,1.0,29.0,258.0,81.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,837.0,0.0,30.0,1
73,4,3,60631.0,1.0,1.0,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,661.0,0.0,24.0,3
74,2,3,28332.0,0.0,0.0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,65.0,0.0,8.0,0
75,2,2,40246.0,1.0,0.0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,13.0,0.0,4.0,0
76,3,3,75251.0,0.0,0.0,34.0,721.0,81.0,549.75,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1484.75,0.0,19.0,2
77,2,4,75825.0,0.0,0.0,40.0,1032.0,81.0,549.75,120.5,82.875,51.0,0.0,5.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1917.125,0.0,22.0,2
78,0,5,26326.0,0.0,0.0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,18.0,0.0,4.0,0
79,2,5,56046.0,0.0,0.0,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,692.0,0.0,21.0,3
80,2,4,29760.0,1.0,0.0,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,165.0,0.0,12.0,0
81,2,3,26304.0,1.0,0.0,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,16.0,0.0,4.0,0
82,0,3,23559.0,1.0,0.0,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,79.0,0.0,9.0,0
84,2,2,81361.0,0.0,0.0,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,778.0,0.0,27.0,2
85,2,3,29440.0,1.0,1.0,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,56.0,0.0,7.0,0
86,3,3,36138.0,1.0,1.0,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,151.0,0.0,13.0,0
87,2,4,50388.0,0.0,1.0,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,372.0,0.0,17.0,3
88,2,3,79593.0,0.0,0.0,70.0,350.0,60.0,549.75,110.0,82.875,126.5,1.0,5.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1279.125,0.0,19.0,2
89,2,5,54178.0,0.0,1.0,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,194.0,0.0,10.0,0
90,4,3,0.0,2.0,1.0,4.0,230.0,42.0,192.0,49.0,37.0,53.0,6.0,7.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,603.0,0.0,23.0,3
91,2,4,0.0,1.0,1.0,45.0,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,18.0,0.0,4.0,0
92,3,5,0.0,0.0,0.0,87.0,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,985.0,0.0,15.0,2
93,3,4,42394.0,1.0,0.0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,32.0,0.0,5.0,0
94,4,3,23626.0,1.0,0.0,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,43.0,0.0,10.0,0
95,2,3,30096.0,1.0,0.0,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,45.0,0.0,6.0,0
96,2,6,47916.0,0.0,1.0,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,606.0,0.0,22.0,1
97,2,2,51813.0,1.0,1.0,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,63.0,0.0,7.0,0
98,0,3,78497.0,0.0,0.0,44.0,207.0,26.0,447.0,75.0,0.0,126.5,1.0,5.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,881.5,0.0,25.0,2
99,4,3,50150.0,0.0,0.0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,410.0,0.0,16.0,2
100,0,4,47823.0,0.0,1.0,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,72.0,0.0,7.0,0
101,4,4,34554.0,0.0,1.0,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,55.0,0.0,7.0,0
102,2,5,85693.0,0.0,1.0,59.0,386.0,81.0,183.0,120.5,82.875,111.0,2.0,9.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,964.375,0.0,27.0,1
103,4,3,65846.0,0.0,0.0,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1120.0,0.0,16.0,2
104,2,3,87195.0,0.0,0.0,35.0,217.0,76.0,549.75,50.0,26.0,38.0,1.0,3.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,956.75,0.0,19.0,2
105,1,5,24594.0,1.0,0.0,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,29.0,0.0,5.0,0
106,2,3,49096.0,1.0,1.0,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,187.0,0.0,13.0,0
107,2,3,52413.0,0.0,2.0,56.0,295.0,81.0,271.0,75.0,82.875,65.0,4.0,6.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,869.875,0.0,26.0,1
108,2,4,38557.0,1.0,0.0,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,145.0,0.0,9.0,0
109,3,3,89058.0,0.0,0.0,18.0,454.0,81.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,737.0,0.0,14.0,2
110,2,5,77298.0,0.0,1.0,46.0,425.0,81.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,935.0,0.0,24.0,1
111,4,4,68126.0,0.0,0.0,40.0,1225.5,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1713.5,0.0,17.0,1
112,3,5,57288.0,0.0,1.0,27.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,608.0,0.0,20.0,3
113,2,4,86037.0,0.0,0.0,95.0,490.0,44.0,125.0,29.0,20.0,22.0,1.0,6.0,7.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,730.0,0.0,25.0,2
114,4,3,43974.0,1.0,0.0,19.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,551.0,0.0,21.0,3
115,2,4,50785.0,1.0,1.0,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,114.0,0.0,8.0,0
